0101	12056
010101	56340
010102	185705
010110	20015
010112	88194
010120	68688
010121	183611
0102	58906
010201	72505
010202	150223
010203	1115188
010210	21125
010212	5559
010213	251189
010220	39293
010221	4356
010223	257611
010230	253770
010231	447307
010232	565256
0110	4811
011001	21085
011002	36046
011010	20379
011012	34681
011020	70955
011021	67602
0112	24196
011201	38931
011202	4089
011203	232802
011210	17124
011212	59242
011213	180932
011220	1286
011221	65619
011223	120707
011230	114883
011231	323888
011232	275701
0120	27931
012001	28085
012002	38014
012003	203606
012010	35638
012012	2055
012013	115634
012020	89852
012021	4318
012023	299310
012030	409345
012031	224533
012032	177224
0121	52667
012101	86970
012102	4959
012103	492873
012110	30546
012112	68334
012113	385400
012120	5184
012121	177708
012123	658134
012130	242180
012131	793677
012132	335212
