0102	31185
010203	341911
01020304	3678598
01020310	1770
01020312	638
01020313	554
01020314	133961
01020320	30
01020321	38
01020323	17
01020324	2092
01020340	120792
01020341	50893
01020342	52477
01020343	57273
010210	234
01021012	28
01021013	6079
01021020	1
01021023	22
01021030	3
01021031	29
01021032	29
010212	70
01021213	721
01021231	6
01021232	14
010213	12495
01021310	44
01021312	709
01021314	221419
01021320	2
01021324	93
01021331	10
01021332	3
01021334	319
01021340	6
01021341	1123
01021342	1970
01021343	964
010220	5
01022023	125
01022032	1
010221	2
01022120	1
01022123	44
010223	162
01022324	2861
01022332	1
01022334	61
01022342	14
01022343	11
010230	7537
01023010	10
01023012	3
01023013	7
01023014	308
01023031	260
01023032	279
01023034	106136
01023040	24
01023041	568
01023042	703
01023043	133
010231	5234
01023110	24
01023112	4
01023113	14
01023114	1743
01023130	10
01023132	289
01023134	79324
01023140	409
01023141	1217
01023142	810
01023143	546
010232	5724
01023210	15
01023212	7
01023213	2
01023214	1155
01023234	40595
01023240	509
01023241	678
01023242	1322
01023243	577
0110	30
011012	511
01101213	9251
01101221	3
01101223	96
01101230	2
01101231	113
01101232	42
011020	1
01102023	15
01102032	1
011021	5
01102123	159
0112	815
011210	2
01121013	65
011213	13206
01121314	183839
01121321	24
01121323	3
01121324	1018
01121340	1
01121341	2686
01121342	1020
01121343	1055
011221	4
01122123	111
011223	111
01122324	2314
01122343	3
011230	2
01123034	30
01123043	2
011231	128
01123121	1
01123123	1
01123124	14
01123132	9
01123134	3155
01123141	7
01123142	13
01123143	7
011232	78
01123221	1
01123223	1
01123224	14
01123234	831
01123241	14
01123242	15
01123243	14
0120	484
012010	2
01201012	1
01201013	29
01201031	1
012012	1
01201213	14
012013	36
01201314	217
01201331	1
01201334	61
01201341	14
01201343	7
012021	39
01202110	1
01202112	1
01202113	14
01202123	286
01202130	2
01202131	10
01202132	6
012023	9301
01202310	12
01202312	10
01202313	7
01202314	226
01202321	319
01202324	193294
01202330	7
01202331	4
01202332	17
01202334	462
01202340	74
01202341	889
01202342	1192
01202343	532
012030	10
01203031	2
01203032	7
01203034	141
01203041	1
01203043	3
012031	50
01203134	501
01203141	11
01203142	5
01203143	2
012032	37
01203231	4
01203234	921
01203241	5
0121	540
012110	3
01211012	2
01211013	95
012112	2
01211213	65
012113	126
01211314	2266
01211343	7
012120	1
01212023	14
012123	5514
01212310	51
01212312	44
01212313	8
01212314	2789
01212324	59160
01212331	1
01212332	2
01212334	75
01212340	383
01212341	1162
01212342	1056
01212343	752
012130	36
01213031	3
01213032	2
01213034	866
01213041	8
01213042	3
01213043	3
012131	137
01213132	1
01213134	1424
01213140	1
01213141	34
01213142	10
01213143	12
012132	68
01213231	10
01213234	1558
01213240	5
01213241	13
01213242	1
01213243	3
